TEAM_NAME,b2b_games,b2b_win_pct,season_win_pct,overperformance
Indiana Pacers,13,0.231,0.573,-0.342
Cleveland Cavaliers,15,0.333,0.585,-0.252
Orlando Magic,15,0.333,0.573,-0.24
Houston Rockets,14,0.286,0.5,-0.214
Memphis Grizzlies,14,0.143,0.329,-0.186
Washington Wizards,13,0.0,0.183,-0.183
Sacramento Kings,15,0.4,0.561,-0.161
LA Clippers,15,0.467,0.622,-0.155
New York Knicks,13,0.462,0.61,-0.148
Oklahoma City Thunder,14,0.571,0.695,-0.124
San Antonio Spurs,13,0.154,0.268,-0.114
Brooklyn Nets,14,0.286,0.39,-0.104
Miami Heat,13,0.462,0.561,-0.099
Toronto Raptors,14,0.214,0.305,-0.091
Philadelphia 76ers,14,0.5,0.573,-0.073
Minnesota Timberwolves,13,0.615,0.683,-0.068
New Orleans Pelicans,13,0.538,0.598,-0.06
Los Angeles Lakers,15,0.533,0.573,-0.04
Atlanta Hawks,15,0.4,0.439,-0.039
Denver Nuggets,13,0.692,0.695,-0.003
Utah Jazz,13,0.385,0.378,0.007
Charlotte Hornets,15,0.267,0.256,0.011
Chicago Bulls,14,0.5,0.476,0.024
Golden State Warriors,17,0.588,0.561,0.027
Dallas Mavericks,14,0.643,0.61,0.033
Boston Celtics,14,0.857,0.78,0.077
Milwaukee Bucks,14,0.714,0.598,0.116
Phoenix Suns,14,0.714,0.598,0.116
Detroit Pistons,15,0.333,0.171,0.162
Portland Trail Blazers,14,0.571,0.256,0.315